,station_id,contract_name,station_name,station_address,has_payment_terminal,is_bonus_station,station_status,last_update,is_connected,allows_overflow,shape,overflowStands,position_latitude,position_longitude,totalStands_capacity,totalStands_availabilities.bikes,totalStands_availabilities.stands,totalStands_availabilities.mechanicalBikes,total_electrical_bikes,total_internal_battery_bikes,total_removable_battery_bikes,main_stand_capacity,main_stand_available_bikes,main_stand_available_stands,main_stand_mechanical_bikes,main_stand_electrical_bikes,main_stand_internal_battery_bikes,main_stand_removable_battery_bikes
61,16,dublin,GEORGES QUAY,Georges Quay,False,False,OPEN,2024-12-25 13:49:50,True,False,,,53.347508,-6.252192,20,14,6,7,7,0,7,20,14,6,7,7,0,7
62,96,dublin,KILMAINHAM LANE,Kilmainham Lane,False,False,OPEN,2024-12-25 13:41:07,True,False,,,53.341805,-6.305085,30,4,26,4,0,0,0,30,4,26,4,0,0,0
63,82,dublin,MOUNT BROWN,Mount Brown,False,False,OPEN,2024-12-25 13:46:43,True,False,,,53.341645,-6.29719,22,8,14,3,5,0,5,22,8,14,3,5,0,5
64,76,dublin,MARKET STREET SOUTH,Market Street South,False,False,OPEN,2024-12-25 13:41:33,True,False,,,53.342296,-6.287661,38,5,33,4,1,0,1,38,5,33,4,1,0,1
65,71,dublin,KEVIN STREET,Kevin Street,False,False,OPEN,2024-12-25 13:50:13,True,False,,,53.337757,-6.267699,40,25,15,16,9,0,9,40,25,15,16,9,0,9
66,79,dublin,ECCLES STREET EAST,Eccles Street East,False,False,OPEN,2024-12-25 13:46:23,True,False,,,53.358115,-6.265601,27,1,26,0,1,0,1,27,1,26,0,1,0,1
67,69,dublin,GRAND CANAL DOCK,Grand Canal Dock,False,False,OPEN,2024-12-25 13:49:20,True,False,,,53.342638,-6.238695,40,21,19,15,6,0,6,40,21,19,15,6,0,6
68,25,dublin,MERRION SQUARE EAST,Merrion Square East,False,False,OPEN,2024-12-25 13:46:18,True,False,,,53.339434,-6.246548,30,2,28,1,1,0,1,30,2,28,1,1,0,1
69,51,dublin,YORK STREET WEST,York Street West,False,False,OPEN,2024-12-25 13:42:08,True,False,,,53.339334,-6.264699,40,0,0,0,0,0,0,40,0,0,0,0,0,0
70,37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,False,False,OPEN,2024-12-25 13:41:26,True,False,,,53.337494,-6.26199,30,10,20,4,6,0,6,30,10,20,4,6,0,6
71,59,dublin,DENMARK STREET GREAT,Denmark Street Great,False,False,OPEN,2024-12-25 13:47:05,True,False,,,53.35561,-6.261397,20,0,20,0,0,0,0,20,0,20,0,0,0,0
72,95,dublin,ROYAL HOSPITAL,Royal Hospital,False,False,OPEN,2024-12-25 13:46:37,True,False,,,53.343897,-6.29706,40,26,14,15,11,0,11,40,26,14,15,11,0,11
73,94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),False,False,OPEN,2024-12-25 13:44:23,True,False,,,53.346985,-6.297804,40,13,27,10,3,0,3,40,13,27,10,3,0,3
74,105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),False,False,OPEN,2024-12-25 13:48:15,True,False,,,53.355954,-6.278378,36,0,36,0,0,0,0,36,0,36,0,0,0,0
75,36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,False,False,OPEN,2024-12-25 13:41:27,True,False,,,53.337824,-6.256035,40,8,32,6,2,0,2,40,8,32,6,2,0,2
76,93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),False,False,OPEN,2024-12-25 13:44:01,True,False,,,53.346603,-6.296924,40,14,26,13,1,0,1,40,14,26,13,1,0,1
77,22,dublin,TOWNSEND STREET,Townsend Street,False,False,OPEN,2024-12-25 13:42:13,True,False,,,53.345922,-6.254614,20,5,15,2,3,0,3,20,5,15,2,3,0,3
78,50,dublin,GEORGES LANE,George's Lane,False,False,OPEN,2024-12-25 13:45:47,True,False,,,53.35023,-6.279696,40,1,39,1,0,0,0,40,1,39,1,0,0,0
79,110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,False,False,OPEN,2024-12-25 13:45:09,True,False,,,53.356307,-6.273717,40,15,25,8,7,0,7,40,15,25,8,7,0,7
80,12,dublin,ECCLES STREET,Eccles Street,False,False,OPEN,2024-12-25 13:41:32,True,False,,,53.359246,-6.269779,20,5,15,0,5,0,5,20,5,15,0,5,0,5
81,34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,False,False,OPEN,2024-12-25 13:47:24,True,False,,,53.330362,-6.265163,30,4,26,4,0,0,0,30,4,26,4,0,0,0
82,78,dublin,MATER HOSPITAL,Mater Hospital,False,False,OPEN,2024-12-25 13:47:55,True,False,,,53.359967,-6.264828,40,1,39,1,0,0,0,40,1,39,1,0,0,0
